family,map,config,instance,alg,expanded,cost,optimal,time_ms,status,mvc,exp_over_mvc
industrial-plants,plant01,diag,61,astar,4794,113.358546,113.359000,12.919,ok,4788.0,1.0012531328320802
industrial-plants,plant01,diag,61,rastar,14603,113.358546,113.359000,38.652,ok,4788.0,3.049916457811195
industrial-plants,plant01,diag,61,mm,11431,113.358546,113.359000,4034.667,ok,4788.0,2.3874269005847952
industrial-plants,plant01,diag,61,bia,9281,113.358546,113.359000,28.358,ok,4788.0,1.9383876357560568
industrial-plants,plant01,diag,61,bae,10106,113.358546,113.359000,32.226,ok,4788.0,2.1106934001670843
industrial-plants,plant01,diag,61,nbs,9126,113.358546,113.359000,22.086,ok,4788.0,1.906015037593985
industrial-plants,plant01,diag,61,gbfs,220,126.639610,113.359000,1.300,subopt,4788.0,0.04594820384294068
industrial-plants,plant01,diag,62,astar,4794,76.673176,76.673200,10.719,ok,4760.0,1.0071428571428571
industrial-plants,plant01,diag,62,rastar,7747,76.673176,76.673200,18.564,ok,4760.0,1.6275210084033613
industrial-plants,plant01,diag,62,mm,12444,76.673176,76.673200,84.031,ok,4760.0,2.6142857142857143
industrial-plants,plant01,diag,62,bia,9567,76.673176,76.673200,26.610,ok,4760.0,2.009873949579832
industrial-plants,plant01,diag,62,bae,12285,76.673176,76.673200,36.273,ok,4760.0,2.5808823529411766
industrial-plants,plant01,diag,62,nbs,9948,76.673176,76.673200,25.293,ok,4760.0,2.0899159663865547
industrial-plants,plant01,diag,62,gbfs,126,78.965705,76.673200,0.808,subopt,4760.0,0.026470588235294117
industrial-plants,plant01,diag,63,astar,4794,49.899495,49.899500,10.798,ok,4788.0,1.0012531328320802
industrial-plants,plant01,diag,63,rastar,6162,49.899495,49.899500,14.807,ok,4788.0,1.286967418546366
industrial-plants,plant01,diag,63,mm,9713,49.899495,49.899500,959.953,ok,4788.0,2.0286131996658314
industrial-plants,plant01,diag,63,bia,8319,49.899495,49.899500,21.847,ok,4788.0,1.737468671679198
industrial-plants,plant01,diag,63,bae,8972,49.899495,49.899500,27.408,ok,4788.0,1.8738512949039265
industrial-plants,plant01,diag,63,nbs,8968,49.899495,49.899500,22.266,ok,4788.0,1.873015873015873
industrial-plants,plant01,diag,63,gbfs,216,50.727922,49.899500,0.880,subopt,4788.0,0.045112781954887216
industrial-plants,plant01,diag,64,astar,4794,210.750018,210.750000,14.383,ok,1444.0,3.3199445983379503
industrial-plants,plant01,diag,64,rastar,341961,210.750018,210.750000,1396.007,ok,1444.0,236.8150969529086
industrial-plants,plant01,diag,64,mm,211555,210.750018,210.750000,57122.002,ok,1444.0,146.5062326869806
industrial-plants,plant01,diag,64,bia,9581,210.750018,210.750000,31.733,ok,1444.0,6.6350415512465375
industrial-plants,plant01,diag,64,bae,96401,210.750018,210.750000,474.804,ok,1444.0,66.75969529085873
industrial-plants,plant01,diag,64,nbs,15682,210.750018,210.750000,39.022,ok,1444.0,10.8601108033241
industrial-plants,plant01,diag,64,gbfs,330,216.007768,210.750000,1.884,subopt,1444.0,0.22853185595567868
industrial-plants,plant01,diag,65,astar,4794,121.108325,121.108000,10.608,ok,3514.0,1.3642572566875355
industrial-plants,plant01,diag,65,rastar,20187,121.108325,121.108000,52.774,ok,3514.0,5.744735344336938
industrial-plants,plant01,diag,65,mm,18879,121.108325,121.108000,983.141,ok,3514.0,5.372509960159363
industrial-plants,plant01,diag,65,bia,9355,121.108325,121.108000,25.686,ok,3514.0,2.662208309618668
industrial-plants,plant01,diag,65,bae,13256,121.108325,121.108000,40.365,ok,3514.0,3.77233921457029
industrial-plants,plant01,diag,65,nbs,10030,121.108325,121.108000,25.003,ok,3514.0,2.8542970973249857
industrial-plants,plant01,diag,65,gbfs,238,138.915088,121.108000,1.319,subopt,3514.0,0.06772908366533864
