family,map,config,instance,alg,expanded,cost,optimal,time_ms,status,mvc,exp_over_mvc
industrial-plants,plant01,diag,10,rastar,6739,87.157000,87.157000,34.191,ok,743.0,9.069986541049799
industrial-plants,plant01,diag,10,mm,5056,87.157000,87.157000,66.588,ok,743.0,6.804845222072679
industrial-plants,plant01,diag,10,bia,1597,87.157000,87.157000,9.711,ok,743.0,2.149394347240915
industrial-plants,plant01,diag,10,bae,3663,87.157000,87.157000,20.798,ok,743.0,4.930013458950202
industrial-plants,plant01,diag,10,nbs,4944,87.157000,87.157000,23.063,ok,743.0,6.654104979811574
industrial-plants,plant01,diag,10,gbfs,106,89.353152,87.157000,1.720,subopt,743.0,0.1426648721399731
industrial-plants,plant01,diag,11,astar,801,65.069610,65.069600,3.900,ok,762.0,1.0511811023622046
industrial-plants,plant01,diag,11,rastar,14234,65.069610,65.069600,75.936,ok,762.0,18.67979002624672
industrial-plants,plant01,diag,11,mm,10573,65.069610,65.069600,95.309,ok,762.0,13.875328083989501
industrial-plants,plant01,diag,11,bia,1595,65.069610,65.069600,8.965,ok,762.0,2.093175853018373
industrial-plants,plant01,diag,11,bae,11893,65.069610,65.069600,89.203,ok,762.0,15.60761154855643
industrial-plants,plant01,diag,11,nbs,5054,65.069610,65.069600,23.678,ok,762.0,6.63254593175853
industrial-plants,plant01,diag,11,gbfs,100,68.768824,65.069600,1.261,subopt,762.0,0.13123359580052493
industrial-plants,plant01,diag,12,astar,801,99.714755,99.714800,4.226,ok,738.0,1.0853658536585367
industrial-plants,plant01,diag,12,rastar,44944,99.714755,99.714800,216.117,ok,738.0,60.89972899728997
industrial-plants,plant01,diag,12,mm,30381,99.714755,99.714800,347.746,ok,738.0,41.166666666666664
industrial-plants,plant01,diag,12,bia,1597,99.714755,99.714800,4.745,ok,738.0,2.1639566395663956
industrial-plants,plant01,diag,12,bae,36324,99.714755,99.714800,159.917,ok,738.0,49.21951219512195
industrial-plants,plant01,diag,12,nbs,11226,99.714755,99.714800,29.363,ok,738.0,15.211382113821138
industrial-plants,plant01,diag,12,gbfs,146,101.660738,99.714800,1.069,subopt,738.0,0.1978319783197832
industrial-plants,plant01,diag,13,astar,801,101.575342,101.575000,2.209,ok,726.0,1.103305785123967
industrial-plants,plant01,diag,13,rastar,39927,101.575342,101.575000,113.099,ok,726.0,54.99586776859504
industrial-plants,plant01,diag,13,mm,28653,101.575342,101.575000,255.349,ok,726.0,39.46694214876033
industrial-plants,plant01,diag,13,bia,1597,101.575342,101.575000,4.801,ok,726.0,2.1997245179063363
industrial-plants,plant01,diag,13,bae,22543,101.575342,101.575000,70.629,ok,726.0,31.050964187327825
industrial-plants,plant01,diag,13,nbs,12550,101.575342,101.575000,31.206,ok,726.0,17.286501377410467
industrial-plants,plant01,diag,13,gbfs,180,105.137278,101.575000,0.932,subopt,726.0,0.24793388429752067
industrial-plants,plant01,diag,14,astar,801,104.403040,104.403000,2.041,ok,742.0,1.0795148247978437
industrial-plants,plant01,diag,14,rastar,15094,104.403040,104.403000,37.491,ok,742.0,20.342318059299192
industrial-plants,plant01,diag,14,mm,9853,104.403040,104.403000,69.032,ok,742.0,13.278975741239892
industrial-plants,plant01,diag,14,bia,1597,104.403040,104.403000,4.539,ok,742.0,2.152291105121294
industrial-plants,plant01,diag,14,bae,8715,104.403040,104.403000,25.543,ok,742.0,11.745283018867925
industrial-plants,plant01,diag,14,nbs,3820,104.403040,104.403000,8.531,ok,742.0,5.1482479784366575
industrial-plants,plant01,diag,14,gbfs,150,108.044837,104.403000,1.019,subopt,742.0,0.20215633423180593
industrial-plants,plant01,diag,15,astar,800,126.375009,126.375000,2.155,ok,706.0,1.13314447592068
industrial-plants,plant01,diag,15,rastar,87669,126.375009,126.375000,251.747,ok,706.0,124.1770538243626
industrial-plants,plant01,diag,15,mm,43625,126.375009,126.375000,329.181,ok,706.0,61.79178470254958
industrial-plants,plant01,diag,15,bia,1515,126.375009,126.375000,5.061,ok,706.0,2.1458923512747874
industrial-plants,plant01,diag,15,bae,31883,126.375009,126.375000,125.446,ok,706.0,45.1600566572238
industrial-plants,plant01,diag,15,nbs,9736,126.375009,126.375000,22.869,ok,706.0,13.790368271954675
industrial-plants,plant01,diag,15,gbfs,220,134.018264,126.375000,1.291,subopt,706.0,0.311614730878187
industrial-plants,plant01,diag,16,astar,801,63.213203,63.213200,1.850,ok,797.0,1.0050188205771644
industrial-plants,plant01,diag,16,rastar,7039,63.213203,63.213200,15.505,ok,797.0,8.831869510664994
industrial-plants,plant01,diag,16,mm,4781,63.213203,63.213200,264.687,ok,797.0,5.998745294855709
industrial-plants,plant01,diag,16,bia,1555,63.213203,63.213200,3.806,ok,797.0,1.9510664993726474
industrial-plants,plant01,diag,16,bae,2683,63.213203,63.213200,6.933,ok,797.0,3.366373902132999
industrial-plants,plant01,diag,16,nbs,1554,63.213203,63.213200,3.542,ok,797.0,1.9498117942283564
industrial-plants,plant01,diag,16,gbfs,120,65.899495,63.213200,0.503,subopt,797.0,0.15056461731493098
industrial-plants,plant01,diag,17,astar,801,139.756630,139.757000,1.949,ok,683.0,1.1727672035139092
industrial-plants,plant01,diag,17,rastar,2126,139.756630,139.757000,4.786,ok,683.0,3.1127379209370423
industrial-plants,plant01,diag,17,mm,2053,139.756630,139.757000,10.673,ok,683.0,3.005856515373353
industrial-plants,plant01,diag,17,bia,1411,139.756630,139.757000,3.761,ok,683.0,2.0658857979502194
industrial-plants,plant01,diag,17,bae,2227,139.756630,139.757000,5.730,ok,683.0,3.260614934114202
industrial-plants,plant01,diag,17,nbs,2488,139.756630,139.757000,5.927,ok,683.0,3.6427525622254757
industrial-plants,plant01,diag,17,gbfs,240,147.802390,139.757000,0.993,subopt,683.0,0.3513909224011713
industrial-plants,plant01,diag,18,astar,801,80.485281,80.485300,1.874,ok,736.0,1.0883152173913044
industrial-plants,plant01,diag,18,rastar,9818,80.485281,80.485300,19.903,ok,736.0,13.339673913043478
industrial-plants,plant01,diag,18,mm,7004,80.485281,80.485300,33.483,ok,736.0,9.516304347826088
industrial-plants,plant01,diag,18,bia,1493,80.485281,80.485300,3.473,ok,736.0,2.0285326086956523
industrial-plants,plant01,diag,18,bae,5311,80.485281,80.485300,13.702,ok,736.0,7.216032608695652
industrial-plants,plant01,diag,18,nbs,2194,80.485281,80.485300,4.920,ok,736.0,2.9809782608695654
industrial-plants,plant01,diag,18,gbfs,150,82.777810,80.485300,0.577,subopt,736.0,0.20380434782608695
industrial-plants,plant01,diag,19,astar,801,69.137278,69.137300,1.911,ok,753.0,1.0637450199203187
industrial-plants,plant01,diag,19,rastar,12781,69.137278,69.137300,31.340,ok,753.0,16.9734395750332
industrial-plants,plant01,diag,19,mm,9932,69.137278,69.137300,60.974,ok,753.0,13.189907038512617
industrial-plants,plant01,diag,19,bia,1557,69.137278,69.137300,5.162,ok,753.0,2.0677290836653386
industrial-plants,plant01,diag,19,bae,7991,69.137278,69.137300,29.584,ok,753.0,10.612217795484728
industrial-plants,plant01,diag,19,nbs,3336,69.137278,69.137300,9.956,ok,753.0,4.430278884462151
