family,map,config,instance,alg,expanded,mvc,exp_over_mvc
descent,levels3,nodiag,438,nbs,2485656,2487628.0,0.9992072769722804
descent,levels3,nodiag,460,nbs,2460656,2464839.0,0.9983029317533518
descent,levels3,nodiag,478,nbs,2702174,2704871.0,0.999002909935446
descent,levels3,diag,480,nbs,2855804,2864817.0,0.9968539002665789
descent,levels3,nodiag,491,nbs,2385818,2388022.0,0.9990770604290915
industrial-plants,plant01,diag,860,nbs,12588,12845.0,0.9799922148695991
industrial-plants,plant02,diag,709,nbs,98078,98522.0,0.995493392338767
industrial-plants,plant02,diag,1377,nbs,107330,107736.0,0.9962315289225514
industrial-plants,plant04,diag,982,nbs,3551668,3670200.0,0.9677042123045065
sandstone,Berea,nodiag,142,nbs,818972,819387.0,0.999493523817195
sandstone,Berea,nodiag,227,nbs,834036,836715.0,0.9967981929330776
sandstone,Kirby,nodiag,16,nbs,393690,393859.0,0.9995709124331297
