VoxelMap: loaded 'benchmarks/industrial-plants/plants/plant01.3dmap' [voxel] 195x128x100, 87620 listed voxels, diagonals=1
instance,alg,expanded,generated,cost,optimal,time_ms,optimal_ok
19,bae,7874,186655,69.137278,69.137300,3.855,1
19,nbs,3336,75583,69.137278,69.137300,1.568,1
19,gbfs,130,0,74.463373,69.137300,0.094,0
20,astar,1599,35097,95.960847,95.960800,0.977,1
20,rastar,31651,781966,95.960847,95.960800,18.902,1
20,mm,20603,507393,95.960847,95.960800,183.865,1
20,bae,14895,357902,95.960847,95.960800,8.915,1
20,nbs,3372,77756,95.960847,95.960800,1.801,1
20,gbfs,160,0,98.547363,95.960800,0.134,0
21,astar,1600,38113,134.792674,134.793000,1.356,1
21,rastar,41760,1007830,134.792674,134.793000,24.218,1
21,mm,25373,617168,134.792674,134.793000,210.660,1
21,bae,3221,62496,134.792674,134.793000,1.601,1
21,nbs,21306,513596,134.792674,134.793000,9.899,1
21,gbfs,394,0,147.808996,134.793000,0.280,0
22,astar,1600,36768,83.035315,83.035300,1.279,1
22,rastar,12895,327128,83.035315,83.035300,8.061,1
22,mm,11300,286407,83.035315,83.035300,15.381,1
22,bae,9803,243151,83.035315,83.035300,5.012,1
22,nbs,4980,121650,83.035315,83.035300,2.888,1
22,gbfs,128,0,86.843291,83.035300,0.129,0
23,astar,1600,34143,121.308122,121.308000,0.943,1
