instance,cstar,fwd_cand,bwd_cand,mvc
0,571.656894,1780844,2970329,1780844
1,670.628915,3665061,5342878,3665061
2,749.507521,3671126,3791787,3015577
3,464.206398,1302600,1907086,1302600
4,660.274841,4276503,4276559,4215590
5,581.707266,2919788,2370696,2362094
6,682.690996,3214977,4643606,3214977
7,400.388654,660297,962411,660297
8,315.306903,512601,699349,512601
9,539.221069,1811662,2744783,1811662
10,623.818997,2754049,4063585,2754049
11,340.271395,591575,753313,591575
12,333.751767,700651,927405,700651
13,529.214217,1506770,2430528,1506770
14,562.459284,2742576,3238033,2742576
15,667.422318,4343860,5298527,4343860
16,678.010775,4168051,4365946,4168051
17,477.303258,1769150,2515696,1769150
18,522.134840,2381400,2336932,2336932
19,624.947913,4695564,4565078,4565078
20,532.355817,3695563,4107710,3544913
21,659.528358,3319114,3429378,3319114
22,291.978330,437406,514404,437406
23,714.570524,4650144,4183876,4183876
24,471.733794,1745936,2375431,1745936
25,642.387435,2591932,4559672,2591932
26,615.181864,2642458,3395658,2642458
27,555.505288,3737516,3918254,3737516
28,643.745013,3301680,4671780,3289158
29,571.642566,3484224,3133063,3133063
30,480.804914,1626986,2005774,1626986
31,571.644701,4030174,3582596,3582596
32,680.231507,4079836,4953352,4079836
33,655.032580,3441842,5286755,3441842
34,397.598219,684328,909493,684328
35,616.569259,4142780,3820716,3820716
36,690.347903,3223260,4732405,2994219
37,690.611187,4264973,4884043,3843677
38,420.547357,1021675,1189746,1021675
39,486.946268,1814182,2120331,1814182
40,393.637662,1057575,1070793,1057575
41,328.113421,748929,734146,734146
42,710.474877,4671968,5259325,4598343
43,631.570769,3766564,4060012,3291196
44,667.753078,4521431,4206535,4142159
45,615.546138,4045227,3636349,3636349
46,543.024812,3152997,2759659,2759659
47,681.711343,3477422,5322117,3477422
48,576.352172,2599692,3143902,2599692
49,446.945977,1225541,1819528,1225541
50,592.993672,3763440,3085286,3085269
51,475.081068,2002220,2097044,2002220
52,9.342417,64,73,64
53,576.879329,1505712,2680806,1505712
54,635.892438,4238313,4282331,4238313
55,400.276737,1320842,1709931,1317972
56,684.019814,4577289,6009858,4577289
57,706.965797,4281959,6577346,4281959
58,357.881032,352015,1256801,352015
59,751.647179,5109864,5603037,4672445
60,481.498005,1361248,2206160,1361248
61,409.995433,838582,1699804,838582
62,611.974731,2482007,4715130,2482007
63,658.903664,3306321,4620917,3306321
64,338.318560,451626,502078,451626
65,558.495818,2333109,3145370,2333109
66,661.820455,3438535,3340815,3340815
67,554.843576,2938677,2765061,2765061
68,609.164813,3820275,3363728,3363728
69,640.065521,4138917,4044930,4044930
70,646.866698,3986519,4598076,3962296
71,333.531087,358595,650216,358595
72,571.473664,3063585,4523971,3063585
73,662.805345,3772708,4030034,2703063
74,802.275809,4156904,6798774,3460697
75,484.965506,2524192,2362504,2362504
76,643.849699,3152112,3554982,2801787
77,133.092732,48378,139088,48378
78,573.783385,4035002,3908570,3908570
79,602.285769,3643534,4273647,3643534
