instance,cstar,fwd_cand,bwd_cand,mvc
0,1206.369520,3719166,2851728,2801094
1,607.588451,1506682,1771931,1506682
2,704.784708,1938513,1717863,1717863
3,1070.909011,2747842,3192284,2747842
4,1399.723401,3634465,3471561,3471561
5,1410.641353,3396380,3656803,3396380
6,927.571936,2395362,2929750,2395362
7,1492.602060,3621206,3673651,3553391
8,665.907413,1771997,1832931,1771997
9,793.018117,2351278,1892324,1892324
10,1352.628097,3574066,3091958,3087228
11,1453.165401,3529470,3702060,3529470
12,1401.740259,3477480,3613766,3477480
13,1400.919361,3501122,3600124,3501122
14,1114.763960,3416977,2574595,2565506
15,1062.456374,2490789,3607729,2490789
16,1182.378455,3301680,2870532,2870532
17,912.397693,2903145,2427757,2427757
18,1197.730930,3159303,3169885,3159303
19,1175.899296,2856803,3616383,2856803
20,1322.484644,3130476,3566129,3130476
21,1182.255312,3131509,3144437,3131509
22,769.011703,2426072,2021742,2021742
23,1059.479496,3043769,2873163,2832235
24,708.502571,1684912,1839918,1684912
25,498.811667,1031562,1240603,1031562
26,792.288060,2367551,2169515,2169515
27,1094.625812,2888783,3191041,2888783
28,682.074030,1939752,1619225,1619225
29,1283.738406,3150297,3435968,3150297
30,977.631399,2659573,2735082,2659573
31,1469.448944,3593727,3646623,3554154
32,1219.495282,3418366,2861320,2861320
33,1196.788883,3748832,2740937,2708141
34,1286.137079,3158639,3625344,3158639
35,742.289711,2339992,1730816,1730816
36,724.249486,2019683,2125455,2019683
37,751.213197,1844527,1925429,1812735
38,509.223642,1401576,1594678,1401576
39,979.055953,2590893,2984778,2590893
40,1398.767167,3668012,3383464,3383464
41,1170.371998,3657504,2740143,2707550
42,358.364908,578607,603373,578607
43,996.244577,2598207,3294841,2598207
44,1294.975029,3239031,3593300,3239031
45,1371.183374,3693373,3301898,3301427
46,1035.703820,2984279,2838151,2838151
47,1022.591174,2566821,2870964,2566821
48,621.265131,1314524,1653311,1314524
49,1459.382197,3480003,3709146,3480003
50,643.367042,1527980,1921362,1527980
51,649.713588,1872527,1790149,1790149
52,1317.426015,3500777,3083249,3083249
53,1245.028852,2964651,3420230,2964651
54,999.690028,2712079,2650826,2650604
55,1167.622896,3597654,2577998,2577998
56,1009.448169,3116078,2553978,2553978
57,1393.115170,3268843,3746772,3268843
58,576.151897,1438710,1223239,1223239
59,1146.624547,3525167,2833140,2710250
60,1431.387055,3399054,3675770,3399054
61,1388.891574,3295524,3716177,3295524
62,1207.391377,3704843,2819422,2710250
63,1451.602929,3718432,3464434,3464434
64,504.978189,881093,1039961,881093
65,628.186676,1457213,1864533,1457213
66,584.598948,1597878,1709913,1597878
67,1208.683177,3292988,2765959,2565053
68,1358.088456,3250163,3686221,3250163
69,741.769599,2174428,1841758,1841758
70,934.664236,2322046,2548650,2322046
71,1272.594672,2858234,3611454,2858234
72,1122.987222,3411654,2598135,2598135
73,1442.209360,3508036,3675167,3492466
74,794.149517,2440923,1788136,1788136
75,856.533029,2715455,2262507,2262507
76,619.869620,2002089,1648334,1648329
77,1394.541577,3629312,3449933,3449933
78,961.110021,2703834,2879129,2703834
79,1477.535797,3740825,3637470,3554851
