instance,cstar,fwd_cand,bwd_cand,mvc
0,571.656894,2617297,4842357,2215776
1,670.628915,4930836,6739202,4746565
2,749.507521,5138800,5477382,3409029
3,464.206398,2654548,2916964,2449614
4,660.274841,5972746,5995594,4555929
5,581.707266,5170438,3417341,3078792
6,682.690996,4922324,6234392,3977346
7,400.388654,1168526,1310025,1168526
8,315.306903,735530,1149366,735530
9,539.221069,2816039,4195790,2816039
10,623.818997,4358756,5733260,4358756
11,340.271395,1064825,1211991,1064825
12,333.751767,1112888,1307828,1112888
13,529.214217,2253807,3700708,2244588
14,562.459284,3937173,4786137,3633271
15,667.422318,6132490,6690271,5167657
16,678.010775,6292471,6336094,5207931
17,477.303258,3448742,3651455,3448742
18,522.134840,3937975,3771377,3771377
19,624.947913,6560179,6130278,5496148
20,532.355817,4983795,5358406,3994080
21,659.528358,5615315,5098048,4146815
22,291.978330,784203,829007,784203
23,714.570524,7004949,6081430,5144099
24,471.733794,2688429,3694206,2688429
25,642.387435,4608622,6241813,4082448
26,615.181864,4130356,5425732,3732486
27,555.505288,5271388,5491303,5095954
28,643.745013,4432076,6768328,4151523
29,571.642566,5683781,4598415,4097127
30,480.804914,2709813,2774071,2696096
31,571.644701,6075524,4982927,4982927
32,680.231507,6031381,6856450,5269553
33,655.032580,4951806,6668639,4090503
34,397.598219,1290413,1706847,1270189
35,616.569259,6252514,4918484,4418507
36,690.347903,5097004,6445175,3200191
37,690.611187,5807025,6388609,3976785
38,420.547357,1465792,1784159,1465792
39,486.946268,2710706,4249322,2710706
40,393.637662,1747226,1801272,1670336
41,328.113421,1556255,1329648,1329648
42,710.474877,6633665,6853034,5009271
43,631.570769,5324478,5338426,3758442
44,667.753078,6195865,6216680,4401230
45,615.546138,5583860,5269849,5269849
46,543.024812,5409995,3775597,3463102
47,681.711343,5418145,7587906,4557177
48,576.352172,3661752,4169817,3315354
49,446.945977,2641674,3085790,2641674
50,592.993672,6073202,4493911,3588585
51,475.081068,2945927,3939203,2934094
52,9.342417,176,171,171
53,576.879329,2220282,4454381,2220282
54,635.892438,6350612,6035801,5376437
55,400.276737,2282067,2548379,2242343
56,684.019814,6076775,7247846,5452560
57,706.965797,5899087,7518164,4577732
58,357.881032,672328,1931471,672328
59,751.647179,6921386,7087723,4772144
60,481.498005,2018429,3228411,2018429
61,409.995433,1546509,2548488,1546509
62,611.974731,3593443,6323297,3593443
63,658.903664,4822188,6241410,4696683
64,338.318560,832904,895201,832904
65,558.495818,3909797,4578973,3909797
66,661.820455,4675713,5103986,4444022
67,554.843576,5298416,4204986,4204986
68,609.164813,5597055,4289606,4289606
69,640.065521,6174410,5931529,5313124
70,646.866698,5804676,6088099,4522147
71,333.531087,804546,1092932,804546
72,571.473664,4556723,5867111,4542492
73,662.805345,5414129,5331686,2847907
74,802.275809,6127523,7929180,3685059
75,484.965506,3658292,3691463,3061397
76,643.849699,4484785,5051967,3231880
77,133.092732,82329,201585,82284
78,573.783385,5766620,5441394,5441394
79,602.285769,5069678,5852216,4102344
