instance,cstar,fwd_cand,bwd_cand,mvc
0,1206.369520,3776787,2943679,2806935
1,607.588451,1766342,1820173,1758520
2,704.784708,2253553,1754285,1732523
3,1070.909011,2842112,3287903,2841883
4,1399.723401,3687540,3535986,3491745
5,1410.641353,3510692,3711874,3508708
6,927.571936,2418534,3322138,2418512
7,1492.602060,3784261,3730125,3553391
8,665.907413,2159734,1884559,1884531
9,793.018117,2849043,1949495,1921073
10,1352.628097,3727112,3216639,3110753
11,1453.165401,3641236,3751886,3555863
12,1401.740259,3600959,3671585,3554154
13,1400.919361,3610720,3666745,3554709
14,1114.763960,3616006,2638555,2572261
15,1062.456374,2546812,3770341,2546805
16,1182.378455,3390981,2917703,2917005
17,912.397693,3251102,2445992,2445775
18,1197.730930,3302931,3269870,3212174
19,1175.899296,3004499,3671800,2998896
20,1322.484644,3247355,3671763,3237791
21,1182.255312,3241791,3267652,3236577
22,769.011703,2582873,2570026,2548979
23,1059.479496,3143778,2980469,2837368
24,708.502571,1991126,2474454,1991100
25,498.811667,1532279,1552657,1469420
26,792.288060,2705351,2298939,2277787
27,1094.625812,3036674,3306024,3036472
28,682.074030,2021460,2077313,1990740
29,1283.738406,3262742,3510090,3258318
30,977.631399,3032171,2801338,2713768
31,1469.448944,3744068,3703497,3554154
32,1219.495282,3539676,2904197,2903957
33,1196.788883,3822339,2830456,2716968
34,1286.137079,3268621,3679293,3268130
35,742.289711,2578301,2042402,2036184
36,724.249486,2298196,2210422,2210408
37,751.213197,2080615,1986780,1966509
38,509.223642,1714529,1621485,1621432
39,979.055953,2662354,3304533,2655110
40,1398.767167,3711293,3476462,3451783
41,1170.371998,3738698,2830540,2716361
42,358.364908,730145,864382,662941
43,996.244577,2670500,3463693,2661529
44,1294.975029,3335342,3663799,3335338
45,1371.183374,3745491,3375701,3360472
46,1035.703820,3147134,2885899,2885890
47,1022.591174,2934311,2973041,2711030
48,621.265131,1488896,2075897,1396105
49,1459.382197,3569624,3773982,3544986
50,643.367042,2029380,2036381,2004636
51,649.713588,2322425,1830465,1830336
52,1317.426015,3643905,3196418,3188818
53,1245.028852,3031810,3489925,3029076
54,999.690028,3224534,2718406,2673847
55,1167.622896,3767550,2684898,2679809
56,1009.448169,3511471,2631991,2631949
57,1393.115170,3376165,3817780,3375818
58,576.151897,1941820,1403831,1403655
59,1146.624547,3667306,2919488,2710250
60,1431.387055,3511363,3731989,3469736
61,1388.891574,3403092,3768968,3402732
62,1207.391377,3795923,2902862,2710250
63,1451.602929,3784886,3571828,3554851
64,504.978189,1193944,1136422,1085808
65,628.186676,1714142,1905974,1714086
66,584.598948,1937528,1730070,1729882
67,1208.683177,3407287,2868473,2565053
68,1358.088456,3367261,3733361,3366337
69,741.769599,2579477,1903996,1902844
70,934.664236,2839536,2627364,2627347
71,1272.594672,2890549,3759455,2890536
72,1122.987222,3733134,2654638,2650166
73,1442.209360,3568502,3731082,3502103
74,794.149517,2991114,1821006,1820878
75,856.533029,3245667,2378497,2373036
76,619.869620,2278757,1670401,1668657
77,1394.541577,3685878,3535614,3517824
78,961.110021,2797726,2940258,2793065
79,1477.535797,3899462,3685624,3554851
