instance,cstar,fwd_cand,bwd_cand,mvc
0,1206.369520,3382706,2765363,2765363
1,607.588451,1183439,1488429,1183439
2,704.784708,1591671,1670045,1591671
3,1070.909011,2576763,3073856,2576763
4,1399.723401,3500047,3281740,3281740
5,1410.641353,3125094,3559332,3125094
6,927.571936,2201355,1963862,1963862
7,1492.602060,3296340,3581747,3296340
8,665.907413,1398303,1670870,1398303
9,793.018117,2070269,1786257,1786257
10,1352.628097,3279376,2945835,2945835
11,1453.165401,3293145,3586856,3293145
12,1401.740259,3217436,3489854,3217436
13,1400.919361,3261928,3461318,3261928
14,1114.763960,2539486,2504793,2504792
15,1062.456374,2275966,2978601,2275966
16,1182.378455,3060309,2708000,2708000
17,912.397693,1956475,2267020,1956475
18,1197.730930,2963285,3035157,2963285
19,1175.899296,2627133,3488602,2627133
20,1322.484644,2928664,3358982,2928664
21,1182.255312,2937505,2952681,2937505
22,769.011703,1901590,1700194,1700194
23,1059.479496,2520967,2783204,2520967
24,708.502571,1297050,1492302,1297050
25,498.811667,603199,719285,603199
26,792.288060,1886486,2013139,1886486
27,1094.625812,2687420,2977495,2687420
28,682.074030,1449679,1367469,1367469
29,1283.738406,2928825,3238653,2928825
30,977.631399,2142587,2670748,2142587
31,1469.448944,3298741,3546412,3298741
32,1219.495282,3138428,2717415,2717415
33,1196.788883,3172201,2631044,2631044
34,1286.137079,3019419,3527200,3019419
35,742.289711,1709038,1424820,1424820
36,724.249486,1394489,1935994,1394489
37,751.213197,1637095,1735659,1637095
38,509.223642,976347,1277536,976347
39,979.055953,2383002,2360337,2360337
40,1398.767167,3524861,3180689,3180689
41,1170.371998,3044440,2629755,2629755
42,358.364908,396333,452688,396333
43,996.244577,2387510,2561744,2387510
44,1294.975029,3110929,3453688,3110929
45,1371.183374,3557154,3158970,3158970
46,1035.703820,2786734,2555188,2555188
47,1022.591174,2074123,2773769,2074123
48,621.265131,1119514,1114281,1114281
49,1459.382197,3276592,3609336,3276592
50,643.367042,1234037,1611674,1234037
51,649.713588,1453922,1631710,1453922
52,1317.426015,3200844,2884065,2884065
53,1245.028852,2821161,3235890,2821161
54,999.690028,2241809,2555466,2241809
55,1167.622896,3218027,2479931,2479931
56,1009.448169,2511560,2259205,2259205
57,1393.115170,3111411,3633278,3111411
58,576.151897,946436,986897,946436
59,1146.624547,2928741,2740173,2710250
60,1431.387055,3268711,3518560,3268711
61,1388.891574,3121010,3608556,3121010
62,1207.391377,3079114,2736724,2710250
63,1451.602929,3562562,3235975,3235975
64,504.978189,617733,910553,617733
65,628.186676,1034403,1640491,1034403
66,584.598948,1103731,1435280,1103731
67,1208.683177,2753820,2610400,2565053
68,1358.088456,3090583,3573548,3090583
69,741.769599,1752116,1772220,1752116
70,934.664236,1923063,2322715,1923063
71,1272.594672,2738032,3309908,2738032
72,1122.987222,2848763,2514816,2514816
73,1442.209360,3317033,3584977,3317033
74,794.149517,2124917,1691004,1691004
75,856.533029,2304426,2057981,2057981
76,619.869620,1645605,1478822,1478822
77,1394.541577,3457256,3252982,3252982
78,961.110021,2477252,2290593,2290593
79,1477.535797,3419637,3507988,3419637
