instance,cstar,fwd_cand,bwd_cand,mvc
0,571.656894,3035639,5698696,2215947
1,670.628915,5583908,7296279,4803575
2,749.507521,6058639,6487913,3409029
3,464.206398,3328761,3433207,2535161
4,660.274841,6627408,6723277,4555929
5,581.707266,6335100,3980521,3193807
6,682.690996,5730685,6953484,3978596
7,400.388654,1516906,1535537,1358906
8,315.306903,861559,1394487,852896
9,539.221069,3403020,4891538,3403020
10,623.818997,5274169,6485165,4723892
11,340.271395,1399741,1485216,1399738
12,333.751767,1293983,1571618,1292088
13,529.214217,2843784,4440883,2816487
14,562.459284,4502455,5495680,3743075
15,667.422318,6914875,7343245,5172088
16,678.010775,7128096,7058030,5216029
17,477.303258,4330276,4283172,4044157
18,522.134840,4678541,4574057,4072722
19,624.947913,7103756,6740255,5527223
20,532.355817,5605306,5910928,4016236
21,659.528358,6782531,5977943,4146819
22,291.978330,1011613,965956,855082
23,714.570524,7626891,6807930,5144099
24,471.733794,3175247,4350215,2974923
25,642.387435,5675725,6828137,4096507
26,615.181864,4946737,6330884,3760542
27,555.505288,5944469,6184671,5139731
28,643.745013,4981057,7568795,4208715
29,571.642566,6460890,5348207,4106056
30,480.804914,3316089,3176789,2984404
31,571.644701,6796060,5633753,5406868
32,680.231507,6800114,7507004,5278027
33,655.032580,5697718,7298612,4090503
34,397.598219,1710258,2345815,1598538
35,616.569259,7177927,5507875,4469583
36,690.347903,6119114,7042021,3200191
37,690.611187,6438007,7094497,3976785
38,420.547357,1674922,2212442,1663054
39,486.946268,3255924,5608332,3255153
40,393.637662,2120053,2257625,1828878
41,328.113421,2060803,1808424,1738677
42,710.474877,7392139,7467137,5010090
43,631.570769,6102414,5868313,3758442
44,667.753078,7021864,7097084,4401230
45,615.546138,6309508,5951024,5306572
46,543.024812,6613921,4270303,3488621
47,681.711343,6193978,8078559,4557177
48,576.352172,4150160,4817507,3320816
49,446.945977,3481706,3750954,3477227
50,592.993672,7061483,5226070,3596822
51,475.081068,3367988,4973324,2952867
52,9.342417,259,236,235
53,576.879329,2688640,5389268,2537644
54,635.892438,7046532,6724432,5381255
55,400.276737,2936276,2929222,2846429
56,684.019814,6815098,7767826,5456062
57,706.965797,6630042,7940748,4577732
58,357.881032,841707,2331174,841705
59,751.647179,7480140,7591055,4772144
60,481.498005,2592873,3636184,2566219
61,409.995433,1998490,3113845,1998488
62,611.974731,4285605,6865695,4285602
63,658.903664,5612119,6824363,4837229
64,338.318560,1038755,1132092,992100
65,558.495818,4607819,5436304,4356524
66,661.820455,5457289,5939083,4458841
67,554.843576,6259579,4836833,4737308
68,609.164813,6553613,4849026,4710929
69,640.065521,6885502,6641737,5326652
70,646.866698,6569539,6862330,4561548
71,333.531087,1069704,1359542,1069702
72,571.473664,5362408,6362188,4932815
73,662.805345,6136727,6130989,2847907
74,802.275809,6798389,8196358,3685069
75,484.965506,4297259,4360382,3101883
76,643.849699,5327577,5875929,3260439
77,133.092732,104773,240795,83507
78,573.783385,6439097,5991085,5586404
79,602.285769,5681994,6597359,4102988
