tag,instance,alg,expanded,generated,cost,optimal,time_ms,status,peak_mb
Parker|w100,0,astar,1132743,24838966,571.656894,571.657000,2222.671,ok,180.5
Parker|w100,0,mm,0,0,0,571.657000,300000.000,timeout,444.4
Parker|w100,0,bae,626818,13186919,571.656894,571.657000,1517.894,ok,83.1
Parker|w100,0,bia,1802035,38539891,571.656894,571.657000,4208.250,ok,201.2
Parker|w100,0,nbs,1523220,32730055,571.656894,571.657000,3319.721,ok,162.2
Parker|w100,1,astar,2454656,51704387,670.628915,670.629000,4232.704,ok,350.5
Parker|w100,1,mm,0,0,0,670.629000,300000.000,timeout,1272.6
Parker|w100,1,bae,2289015,49208085,670.628915,670.629000,10694.587,ok,313.4
Parker|w100,1,bia,3540479,74848079,670.628915,670.629000,12626.180,ok,381.1
Parker|w100,1,nbs,4059622,86258860,670.628915,670.629000,13209.512,ok,389.2
Parker|w100,2,astar,1795539,37763957,749.507521,749.508000,3548.931,ok,213.6
Parker|w100,2,mm,0,0,0,749.508000,300000.000,timeout,760.3
Parker|w100,2,bae,1285997,27134813,749.507521,749.508000,4940.716,ok,160.8
Parker|w100,2,bia,2504941,52303881,749.507521,749.508000,8366.369,ok,273.6
Parker|w100,2,nbs,2539110,53111284,749.507521,749.508000,7933.310,ok,254.5
Parker|w100,3,astar,472689,9812658,464.206398,464.206000,953.872,ok,62.6
Parker|w100,3,mm,0,0,0,464.206000,300000.000,timeout,384.3
Parker|w100,3,bae,469928,10050952,464.206398,464.206000,1395.566,ok,64.2
Parker|w100,3,bia,809597,17197408,464.206398,464.206000,2360.734,ok,96.0
Parker|w100,3,nbs,884450,18683396,464.206398,464.206000,2299.928,ok,93.5
Parker|w100,4,astar,2232306,47011902,660.274841,660.275000,5268.208,ok,352.1
Parker|w100,4,mm,0,0,0,660.275000,300000.000,timeout,1097.5
Parker|w100,4,bae,1644178,34574998,660.274841,660.275000,8903.099,ok,212.9
Parker|w100,4,bia,3332107,70102663,660.274841,660.275000,12978.392,ok,365.6
Parker|w100,4,nbs,3370020,71084140,660.274841,660.275000,11080.164,ok,338.5
Parker|w100,5,astar,1228638,26106029,581.707266,581.707000,3333.031,ok,180.5
Parker|w100,5,mm,0,0,0,581.707000,300000.000,timeout,701.9
Parker|w100,5,bae,1260712,27622007,581.707266,581.707000,5554.663,ok,155.7
Parker|w100,5,bia,2122793,45213325,581.707266,581.707000,7098.347,ok,273.7
Parker|w100,5,nbs,2072964,44170466,581.707266,581.707000,5638.241,ok,199.8
Parker|w100,6,astar,1754170,37166337,682.690996,682.691000,4476.717,ok,209.8
Parker|w100,6,mm,0,0,0,682.691000,300000.000,timeout,1055.0
Parker|w100,6,bae,1243555,26230639,682.690996,682.691000,5090.194,ok,159.7
Parker|w100,6,bia,2747813,58121850,682.690996,682.691000,9393.816,ok,286.3
Parker|w100,6,nbs,2868958,60811445,682.690996,682.691000,9681.352,ok,293.4
Parker|w100,7,astar,250159,5309527,400.388654,400.389000,341.886,ok,52.0
Parker|w100,7,mm,0,0,0,400.389000,300000.000,timeout,217.7
Parker|w100,7,bae,411281,8785781,400.388654,400.389000,1050.606,ok,62.1
Parker|w100,7,bia,382341,8128678,400.388654,400.389000,767.378,ok,51.9
Parker|w100,7,nbs,444068,9442783,400.388654,400.389000,761.642,ok,51.5
Parker|w100,8,astar,250151,5263271,315.306903,315.307000,357.436,ok,52.0
Parker|w100,8,mm,0,0,0,315.307000,300000.000,timeout,154.3
Parker|w100,8,bae,259402,5481301,315.306903,315.307000,591.575,ok,46.7
Parker|w100,8,bia,415005,8653734,315.306903,315.307000,964.835,ok,56.1
Parker|w100,8,nbs,409478,8559718,315.306903,315.307000,755.657,ok,46.7
Parker|w100,9,astar,748894,15776098,539.221069,539.221000,1458.482,ok,100.6
Parker|w100,9,mm,0,0,0,539.221000,300000.000,timeout,581.7
Parker|w100,9,bae,1344142,28815156,539.221069,539.221000,5457.132,ok,167.9
Parker|w100,9,bia,1175797,24925715,539.221069,539.221000,3625.111,ok,142.4
Parker|w100,9,nbs,1462114,31381159,539.221069,539.221000,3926.560,ok,163.9
Parker|w100,10,astar,1520775,32382199,623.818997,623.819000,3525.384,ok,192.3
Parker|w100,10,mm,0,0,0,623.819000,300000.000,timeout,1131.5
Parker|w100,10,bae,1833651,39321464,623.818997,623.819000,7508.386,ok,230.0
Parker|w100,10,bia,2600721,55113189,623.818997,623.819000,8875.135,ok,272.7
Parker|w100,10,nbs,2911116,62178876,623.818997,623.819000,8903.267,ok,314.6
Parker|w100,11,astar,236312,5197125,340.271395,340.271000,311.369,ok,33.8
Parker|w100,11,mm,0,0,0,340.271000,300000.000,timeout,206.0
Parker|w100,11,bae,442089,9849927,340.271395,340.271000,898.267,ok,61.6
Parker|w100,11,bia,395471,8754451,340.271395,340.271000,695.233,ok,50.7
Parker|w100,11,nbs,448516,10024504,340.271395,340.271000,689.556,ok,48.3
Parker|w100,12,astar,305776,6314340,333.751767,333.752000,398.340,ok,52.0
Parker|w100,12,mm,0,0,0,333.752000,300000.000,timeout,214.5
Parker|w100,12,bae,419417,8798524,333.751767,333.752000,934.276,ok,60.8
Parker|w100,12,bia,490003,10187565,333.751767,333.752000,893.414,ok,57.7
Parker|w100,12,nbs,552150,11461631,333.751767,333.752000,922.926,ok,71.1
Parker|w100,13,astar,1010688,20777198,529.214217,529.214000,1468.787,ok,120.3
Parker|w100,13,mm,0,0,0,529.214000,300000.000,timeout,589.8
Parker|w100,13,bae,1196826,25448739,529.214217,529.214000,3649.382,ok,155.0
Parker|w100,13,bia,1727301,36063926,529.214217,529.214000,4213.518,ok,193.1
Parker|w100,13,nbs,1735208,36233073,529.214217,529.214000,3820.964,ok,177.2
Parker|w100,14,astar,1242479,26816899,562.459284,562.459000,2048.633,ok,180.6
Parker|w100,14,mm,0,0,0,562.459000,300000.000,timeout,667.8
Parker|w100,14,bae,1333681,29065291,562.459284,562.459000,4154.691,ok,159.6
Parker|w100,14,bia,1959678,41993535,562.459284,562.459000,4902.647,ok,214.0
Parker|w100,14,nbs,1956428,41927109,562.459284,562.459000,4453.975,ok,190.4
Parker|w100,15,astar,2099641,44899203,667.422318,667.422000,3685.677,ok,352.1
Parker|w100,15,mm,0,0,0,667.422000,300000.000,timeout,1356.1
Parker|w100,15,bae,2333319,50378434,667.422318,667.422000,9345.139,ok,309.1
Parker|w100,15,bia,3521665,75122695,667.422318,667.422000,10680.188,ok,381.2
