instance,cstar,fwd_cand,bwd_cand,mvc
0,235.107596,274839,560916,274839
1,98.270620,16723,33685,16723
2,154.327115,86870,161470,86870
3,171.944280,54635,165837,54635
4,167.447535,100666,160535,100666
5,203.992226,314894,331672,314894
6,160.709949,55175,105761,55175
7,137.928687,65361,101466,65361
8,141.864419,93324,134276,93324
9,193.107789,91492,257490,91492
10,168.804139,99873,130148,99873
11,107.686047,56778,59499,56778
12,133.584084,36003,57610,36003
13,161.435632,43743,53683,43743
14,198.385067,128284,193038,128284
15,147.959337,109202,144135,109202
16,209.730348,99123,281381,99123
17,141.192024,21423,97282,21423
18,182.609637,88010,94374,88010
19,135.797287,32166,45123,32166
20,212.579903,246864,277214,236630
21,151.681189,48742,162101,48742
22,207.083016,88923,291451,88923
23,114.911636,32900,55805,32900
24,144.347758,123192,144020,123192
25,187.785578,100151,274402,100151
26,116.545853,11165,30855,11165
27,164.823272,80053,178796,80053
28,162.031134,78207,173716,78207
29,148.664138,63848,132708,63848
30,176.469927,55896,79590,55896
31,190.779752,82675,93282,69825
32,140.421497,59071,102247,59071
33,190.712084,105200,156976,105200
34,142.502087,29100,42857,29100
35,88.065481,13534,18862,13534
36,118.937481,15068,33603,15068
37,124.333430,56688,57791,56688
38,194.808267,110003,177436,110003
39,136.260176,99961,130228,99961
40,211.573884,110730,404202,110730
41,150.270911,83534,90505,83534
42,129.491836,71648,84011,71648
43,153.459244,32159,62985,32159
44,196.424949,126309,167546,126309
45,115.410569,4723,61862,4723
46,201.706742,119292,204341,119292
47,127.906778,36698,65743,36698
48,210.340037,66980,142307,66980
49,172.620320,75650,232709,75650
50,140.626688,95994,109174,95994
51,107.676576,41452,41886,41452
52,70.740115,3971,7292,3971
53,172.634024,45251,84086,45251
54,195.908236,71278,232863,71278
55,186.997813,70334,115201,70334
56,157.960118,160074,225744,160074
57,133.239725,117682,129166,117682
58,194.392789,122633,204310,122633
59,193.574420,34395,107341,34395
60,161.344114,64685,108880,64685
61,142.427568,151344,162552,151344
62,112.605508,59733,63633,59733
63,164.947196,130809,350365,130809
64,145.493294,96960,157043,96960
65,202.373603,111006,311131,111006
66,193.817983,127606,149389,126234
67,106.353881,23744,47583,23744
68,198.471921,55225,111941,55225
69,155.717962,125272,211518,125272
70,219.229957,154992,397512,154992
71,185.434664,87205,128900,87205
72,197.949383,77114,184955,77114
73,100.737928,12756,30275,12756
74,188.923346,119727,177501,119727
75,145.974446,104559,128705,104559
76,118.262363,49533,50614,49533
77,170.336533,85878,116369,85878
78,152.092732,47918,155180,47918
79,139.655203,13489,16621,13489
