tag,instance,alg,expanded,generated,cost,optimal,time_ms,status,peak_mb
level20|w060,0,astar,3719167,90808654,1206.369520,1206.370000,6388.293,ok,433.1
level20|w060,0,mm,0,0,0,1206.370000,300000.000,timeout,1019.6
level20|w060,0,bae,3378410,82538016,1206.369520,1206.370000,11169.264,ok,526.9
level20|w060,0,bia,3361832,82114890,1206.369520,1206.370000,8411.625,ok,374.3
level20|w060,0,nbs,3750784,91582953,1206.369520,1206.370000,8079.667,ok,425.0
level20|w060,1,astar,1506683,36547926,607.588451,607.588000,2582.566,ok,199.8
level20|w060,1,mm,0,0,0,607.588000,300000.000,timeout,615.3
level20|w060,1,bae,1945075,47788082,607.588451,607.588000,7283.414,ok,298.0
level20|w060,1,bia,2375227,58167155,607.588451,607.588000,6742.055,ok,283.4
level20|w060,1,nbs,2219306,54468882,607.588451,607.588000,5343.982,ok,293.2
level20|w060,2,astar,1938514,47596931,704.784708,704.785000,3370.496,ok,235.3
level20|w060,2,mm,0,0,0,704.785000,300000.000,timeout,485.7
level20|w060,2,bae,2121448,52073638,704.784708,704.785000,8082.898,ok,360.7
level20|w060,2,bia,1984804,48798351,704.784708,704.785000,5834.397,ok,223.8
level20|w060,2,nbs,2137402,52451346,704.784708,704.785000,4872.197,ok,291.7
level20|w060,3,astar,2747843,66631618,1070.909011,1070.910000,4870.418,ok,362.6
level20|w060,3,mm,0,0,0,1070.910000,300000.000,timeout,967.3
level20|w060,3,bae,3653059,89246841,1070.909011,1070.910000,14471.116,ok,548.1
level20|w060,3,bia,3933315,95985443,1070.909011,1070.910000,13539.805,ok,425.0
level20|w060,3,nbs,3740966,91336030,1070.909011,1070.910000,9208.008,ok,423.0
level20|w060,4,astar,3634466,88747529,1399.723401,1399.720000,6171.630,ok,425.7
level20|w060,4,mm,0,0,0,1399.720000,300000.000,timeout,938.1
level20|w060,4,bae,3662299,89455327,1399.723401,1399.720000,12533.271,ok,547.3
level20|w060,4,bia,3927686,95855256,1399.723401,1399.720000,10029.226,ok,424.4
level20|w060,4,nbs,3741060,91338276,1399.723401,1399.720000,7895.757,ok,421.8
level20|w060,5,astar,3396381,82961405,1410.641353,1410.640000,5783.169,ok,404.6
level20|w060,5,mm,0,0,0,1410.640000,300000.000,timeout,981.9
level20|w060,5,bae,3635580,88808148,1410.641353,1410.640000,11225.018,ok,542.2
level20|w060,5,bia,3907999,95377313,1410.641353,1410.640000,9435.606,ok,422.4
level20|w060,5,nbs,3741060,91338276,1410.641353,1410.640000,7995.795,ok,423.6
level20|w060,6,astar,2395363,58087670,927.571936,927.572000,4099.650,ok,362.6
level20|w060,6,mm,0,0,0,927.572000,300000.000,timeout,992.4
level20|w060,6,bae,2706189,65765227,927.571936,927.572000,9488.172,ok,387.8
level20|w060,6,bia,3134793,76086661,927.571936,927.572000,8800.773,ok,364.5
level20|w060,6,nbs,3522074,85922858,927.571936,927.572000,8511.170,ok,412.0
level20|w060,7,astar,3621207,88429033,1492.602060,1492.600000,6054.149,ok,425.5
level20|w060,7,mm,0,0,0,1492.600000,300000.000,timeout,1000.9
level20|w060,7,bae,3659942,89400171,1492.602060,1492.600000,11571.170,ok,546.2
level20|w060,7,bia,3930079,95913804,1492.602060,1492.600000,9717.578,ok,422.8
level20|w060,7,nbs,3741060,91338276,1492.602060,1492.600000,7792.258,ok,424.9
level20|w060,8,astar,1771998,43191049,665.907413,665.907000,2990.740,ok,220.5
