instance,cstar,fwd_cand,bwd_cand,mvc
0,235.107596,1577924,1724265,1577924
1,98.270620,175692,215325,175691
2,154.327115,518300,836109,518300
3,171.944280,782088,1030238,782088
4,167.447535,952637,882597,882596
5,203.992226,1325845,1381429,1325845
6,160.709949,548710,769977,548710
7,137.928687,778486,622888,622888
8,141.864419,466193,828772,466193
9,193.107789,1312761,1398275,1312761
10,168.804139,669517,946528,669517
11,107.686047,368972,337682,337682
12,133.584084,537165,524463,524463
13,161.435632,759859,909124,759859
14,198.385067,1184870,956827,956826
15,147.959337,562033,942478,562033
16,209.730348,1294183,1455090,1294183
17,141.192024,307485,505104,307485
18,182.609637,879423,838774,838774
19,135.797287,451547,521811,451546
20,212.579903,1164215,1474409,1164215
21,151.681189,631642,729328,631642
22,207.083016,1448569,1383513,1383513
23,114.911636,266134,305259,266134
24,144.347758,738507,673103,673103
25,187.785578,1099290,1366343,1099290
26,116.545853,359209,344721,344721
27,164.823272,902031,993980,902031
28,162.031134,958987,982471,958987
29,148.664138,495900,757399,495900
30,176.469927,1153274,938508,938508
31,190.779752,992134,941731,941731
32,140.421497,486460,483682,483682
33,190.712084,1028593,1002113,1002113
34,142.502087,496565,337131,337131
35,88.065481,138502,144449,138502
36,118.937481,356830,333404,333404
37,124.333430,389070,439505,389070
38,194.808267,941212,1249232,941212
39,136.260176,615460,601700,601700
40,211.573884,1252059,1600859,1252058
41,150.270911,566657,802333,566657
42,129.491836,462343,452381,452381
43,153.459244,287223,343095,287223
44,196.424949,912493,783380,783380
45,115.410569,356188,380104,356188
46,201.706742,731623,935334,731623
47,127.906778,541508,594811,541507
48,210.340037,1360724,1516815,1360724
49,172.620320,1023536,1147419,1023536
50,140.626688,723744,598555,598555
51,107.676576,259349,271675,259349
52,70.740115,39489,67852,39489
53,172.634024,995195,924504,924504
54,195.908236,833068,1301090,833068
55,186.997813,1215971,1355686,1215971
56,157.960118,691075,775921,691075
57,133.239725,515465,769376,515465
58,194.392789,1052478,1301277,1052478
59,193.574420,1087363,1339201,1087363
60,161.344114,859966,982051,859966
61,142.427568,892332,535885,535885
62,112.605508,402880,457194,402880
63,164.947196,796141,878321,795900
64,145.493294,443324,833046,443324
65,202.373603,1474589,1481017,1474589
66,193.817983,966583,1109866,966583
67,106.353881,220860,322334,220860
68,198.471921,1304758,1325382,1304758
69,155.717962,648232,1049802,648232
70,219.229957,1550972,1548787,1521585
71,185.434664,977133,949059,949059
72,197.949383,759632,972669,759632
73,100.737928,210937,292157,210937
74,188.923346,1055460,977545,977545
75,145.974446,784299,580730,580730
76,118.262363,367593,379966,367593
77,170.336533,808059,1137800,808059
78,152.092732,738197,786825,738197
79,139.655203,268628,322651,268628
