instance,cstar,fwd_cand,bwd_cand,mvc
0,235.107596,1798022,1922827,1614775
1,98.270620,348662,401887,346041
2,154.327115,831192,1356982,765517
3,171.944280,1132052,1601052,1048648
4,167.447535,1360653,1389613,1266634
5,203.992226,1652319,1685589,1539334
6,160.709949,962698,1240023,836153
7,137.928687,1259421,928968,904022
8,141.864419,724753,1321189,700263
9,193.107789,1606355,1684090,1540966
10,168.804139,1088207,1394443,1026557
11,107.686047,590870,588134,523671
12,133.584084,977191,838228,762815
13,161.435632,1283118,1309833,976046
14,198.385067,1571019,1389232,1265704
15,147.959337,802133,1431597,773275
16,209.730348,1616017,1795832,1446322
17,141.192024,589178,778242,501600
18,182.609637,1348169,1324118,1219030
19,135.797287,776246,899412,759469
20,212.579903,1607037,1709574,1468592
21,151.681189,907972,1195677,766388
22,207.083016,1667099,1720665,1552129
23,114.911636,469856,536720,442451
24,144.347758,1196965,921223,890099
25,187.785578,1427373,1823385,1275441
26,116.545853,678875,630603,582758
27,164.823272,1303130,1424974,1082916
28,162.031134,1284149,1494400,1172793
29,148.664138,755224,1242852,708964
30,176.469927,1562865,1445352,1286899
31,190.779752,1430073,1288084,1227044
32,140.421497,839824,805244,652791
33,190.712084,1455596,1373642,1296822
34,142.502087,881516,564383,523268
35,88.065481,277665,289588,274706
36,118.937481,625561,509491,445748
37,124.333430,620134,692830,540597
38,194.808267,1334817,1623559,1217847
39,136.260176,884747,895210,710104
40,211.573884,1627812,1793743,1562963
41,150.270911,797495,1340723,728989
42,129.491836,680327,810013,561330
43,153.459244,637095,619820,566579
44,196.424949,1292012,1226738,1082886
45,115.410569,607956,662733,564974
46,201.706742,1113608,1324417,1024781
47,127.906778,883340,1017388,784743
48,210.340037,1683025,1774487,1514722
49,172.620320,1331905,1615796,1226660
50,140.626688,1184349,868989,848809
51,107.676576,458405,504655,385914
52,70.740115,93513,122569,93498
53,172.634024,1393182,1487012,1212235
54,195.908236,1268173,1613449,1263115
55,186.997813,1558830,1620902,1441500
56,157.960118,967851,1028891,765660
57,133.239725,797253,1196307,750609
58,194.392789,1502690,1609885,1368277
59,193.574420,1465820,1729669,1356137
60,161.344114,1361320,1311860,1142783
61,142.427568,1324242,837042,781281
62,112.605508,633525,802432,604583
63,164.947196,1091321,1139778,860469
64,145.493294,683792,1343446,664689
65,202.373603,1690970,1731960,1595235
66,193.817983,1412111,1512554,1288649
67,106.353881,394532,572859,390815
68,198.471921,1636306,1692228,1445019
69,155.717962,892722,1510066,846237
70,219.229957,1774374,1812836,1564130
71,185.434664,1460984,1461646,1340869
72,197.949383,1134054,1348699,1068201
73,100.737928,345628,603954,334099
74,188.923346,1439480,1427300,1301882
75,145.974446,1272052,921462,868881
76,118.262363,602675,621128,526929
77,170.336533,1112454,1630609,996648
78,152.092732,1111452,1259635,1009113
79,139.655203,495145,652089,462092
